filename,surname,name,real_gender,year,edition,dancer_id,countries,perf_type,awards,has_award,performance,thumbnail_frame,res,frame_count,performance_translated,perf_clean,has_thumbnail,filepath_thumbnail,credits
edition4/edition4_sequence_1.mp4,Couturier,Elva,F,1976,4th,1976-017,France,classical,Prix de la meilleure variation libre (fille),1,Swan Lake - Act II,,,,Swan Lake - Act II,Swan Lake - Act 2,1,,
edition4/edition4_sequence_2.mp4,Heyninck,Karin,F,1976,4th,1976-040,Belgium,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition4/edition4_sequence_6.mp4,Johannsen,Rogert,M,1976,4th,1976-070,Danemark,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Blue Bird,,,,Sleeping Beauty - Blue Bird,Sleeping Beauty - Blue Bird,1,,
edition4/edition4_sequence_0.mp4,Kurova,Jana,F,1976,4th,1976-016,Czechoslovakia,classical,M¨¦daille d'or,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition4/edition4_sequence_4.mp4,Prince,St¨¦phane,M,1976,4th,1976-068,Switzerland,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition4/edition4_sequence_5.mp4,Van Cauwenbergh,Ben,M,1976,4th,1976-065,Belgium,classical,M¨¦daille d'or,1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition4/edition4_sequence_3.mp4,Ward,Andrew,M,1976,4th,1976-067,United Kingdom,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition6/edition6_sequence_13.mp4,Anota,Philippe,M,1978,6th,1978-089,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,Sleeping Beauty - Act 3 - Prince D¨¦sir¨¦,1,,
edition6/edition6_sequence_3.mp4,Bos,Marie-Jinette,F,1978,6th,1978-021,France,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition6/edition6_sequence_6.mp4,Camboulas,Isabelle,F,1978,6th,1978-059,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition6/edition6_sequence_12.mp4,Coste,Arnaud,M,1978,6th,1978-086,France,classical,,0,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition6/edition6_sequence_14.mp4,Fons,Michel,M,1978,6th,1978-071,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition6/edition6_sequence_11.mp4,Maillard,Jan,M,1978,6th,1978-076,Belgium,classical,,0,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition6/edition6_sequence_7.mp4,Marchand,Christiane,F,1978,6th,1978-016,Belgium,classical,,0,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition6/edition6_sequence_10.mp4,Michel,Thierry,M,1978,6th,1978-080,France,classical,,0,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,Sleeping Beauty - Act 3 - Prince D¨¦sir¨¦,1,,
edition6/edition6_sequence_5.mp4,Paisey,Karen,F,1978,6th,1978-011,United Kingdom,classical,,0,Swan Lake - Pas de Trois,,,,Swan Lake - Pas de Trois,Swan Lake - Pas De Trois,1,,
edition6/edition6_sequence_9.mp4,Sette,Thierry,M,1978,6th,1978-091,France,classical,,0,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition6/edition6_sequence_8.mp4,Stierli,Jasmine,F,1978,6th,1978-066,Switzerland,classical,Prix du meilleur Suisse,1,Sleeping Beauty - Lilac Fairy,,,,Sleeping Beauty - Lilac Fairy,Sleeping Beauty - Lilac Fairy,1,,
edition6/edition6_sequence_2.mp4,Yoshida,Naomi,F,1978,6th,1978-012,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition6/edition6_sequence_4.mp4,Zerara,Catherine,F,1978,6th,1978-053,France,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition7/edition7_sequence_2.mp4,Albert,Deanne,F,1979,7th,1979-007,USA,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition7/edition7_sequence_11.mp4,Bachbeuyukian,Rouben,M,1979,7th,1979-068,France,classical,"Prix d'encouragement de la Fondation de la Danse, Paris",1,Swan Lake - Act II,,,,Swan Lake - Act II,Swan Lake - Act 2,1,,
edition7/edition7_sequence_8.mp4,Boisnon,Jean-Fran?ois,M,1979,7th,1979-056,France,classical,,0,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition7/edition7_sequence_13.mp4,Broeckx,Jan,M,1979,7th,1979-067,Belgium,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition7/edition7_sequence_12.mp4,Broomhead,Philipp,M,1979,7th,1979-069,United Kingdom,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,Sleeping Beauty - Act 3 - Prince D¨¦sir¨¦,1,,
edition7/edition7_sequence_5.mp4,Funt,Jessica,F,1979,7th,1979-001,USA,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition7/edition7_sequence_10.mp4,Herment,Jean-Jacques,M,1979,7th,1979-060,France,classical,,0,Sleeping Beauty,,,,Sleeping Beauty,Sleeping Beauty,1,,
edition7/edition7_sequence_1.mp4,Mosselmans,Pascale,F,1979,7th,1979-039,France,classical,,0,Swan Lake - Act I,,,,Swan Lake - Act I,Swan Lake - Act 1,1,,
edition7/edition7_sequence_9.mp4,Onzia,Koen,M,1979,7th,1979-051,Belgium,classical,M¨¦daille d'or,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition7/edition7_sequence_0.mp4,Perronno,Myriam,F,1979,7th,1979-042,France,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition7/edition7_sequence_6.mp4,Rathfelder,Myl¨¨ne,F,1979,7th,1979-023,Switzerland,classical,Prix du meilleur Suisse,1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition7/edition7_sequence_3.mp4,Tucker,Ravenna,F,1979,7th,1979-029,United Kingdom,classical,"Prix d'encouragement de la Fondation de la Danse, Paris",1,Sleeping Beauty - Act II,,,,Sleeping Beauty - Act II,Sleeping Beauty - Act 2,1,,
edition7/edition7_sequence_7.mp4,V?re,Tiina,M,1979,7th,1979-046,Finland,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition7/edition7_sequence_4.mp4,Voisard,Sylvia-In¨¨s,F,1979,7th,1979-016,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,Sleeping Beauty - Act 1,1,,
edition9/edition9_sequence_7.mp4,Belando,B¨¦atrice,F,1981,9th,1981-054,France,classical,,0,Paquita,,,,Paquita,Paquita,1,,
edition9/edition9_sequence_3.mp4,Benjamin,Leanne Faye,F,1981,9th,1981-005,Australia,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,The Nutcracker - Sugar Plum Fairy,1,,
edition9/edition9_sequence_2.mp4,Camillo,Christine,F,1981,9th,1981-017,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Paquita,,,,Paquita,Paquita,1,,
edition9/edition9_sequence_10.mp4,Giannetti,Stefano,M,1981,9th,1981-064,Italy,classical,,0,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition9/edition9_sequence_6.mp4,Grandjean,Marina,F,1981,9th,1981-039,Switzerland,classical,Prix du meilleur Suisse,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition9/edition9_sequence_1.mp4,Landowski,Manon,F,1981,9th,1981-004,France,classical,,0,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,The Nutcracker - Sugar Plum Fairy,1,,
