filename,surname,name,full_name,real_gender,year,edition,dancer_id,countries,perf_type,awards,has_award,performance,thumbnail_frame,res,frame_count,performance_translated,perf_clean,has_thumbnail,filepath_thumbnail,credits,decade,continent
Bayard_Sylviane_1973.tif,Bayard,Sylviane,Bayard Sylviane,F,1973,1st,1973_A,France,photo,,1,,,,,,,0.0,,Dany Gignoux,1970,Europe
Cassiman_Kym_1973.tif,Cassiman,Kym,Cassiman Kym,F,1973,1st,1973_B,Belgium,photo,,0,,,,,,,0.0,,Dany Gignoux,1970,Europe
de_Graef_Marc_1973.tif,de Graef,Marc,de Graef Marc,M,1973,1st,1973_C,Belgium,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Eger_Judith_1973.tif,Eger,Judith,Eger Judith,F,1973,1st,1973_D,Canada,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,North America
Gascard_Michel_1973.tif,Gascard,Michel,Gascard Michel,M,1973,1st,1973_E,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Girollet_Axelle_1973.tif,Girollet,Axelle,Girollet Axelle,F,1973,1st,1973_F,France,photo,,0,,,,,,,0.0,,Dany Gignoux,1970,Europe
Schmitt_Corinne_1973.tif,Schmitt,Corinne,Schmitt Corinne,F,1973,1st,1973_G,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Van_Cauwenbergh_Tom_1973.tif,Van Cauwenbergh,Tom,Van Cauwenbergh Tom,M,1973,1st,1973_H,Belgium,photo,,1,,,,,,,0.0,,Dany Gignoux,1970,Europe
Asplanato_Margareth_1974.tif,Asplanato,Margareth,Asplanato Margareth,F,1974,2nd,1974-027,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Bahiri_Mohamed_1974.tif,Bahiri,Mohamed,Bahiri Mohamed,M,1974,2nd,1974-008,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Baule_Sophie_1974.tif,Baule,Sophie,Baule Sophie,F,1974,2nd,1974-016,,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,
Heinonen_Riitta_1974.tif,Heinonen,Riitta,Heinonen Riitta,F,1974,2nd,1974-028,Finland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Heinonen_Soile_1974.tif,Heinonen,Soile,Heinonen Soile,F,1974,2nd,1974-031,Finland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Mocogni_Jocelyne_1974.tif,Mocogni,Jocelyne,Mocogni Jocelyne,F,1974,2nd,1974-009,,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,
Morillon_Sophie_1974.tif,Morillon,Sophie,Morillon Sophie,F,1974,2nd,1974-021,France,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Acatos_Sibylle_1975.tif,Acatos,Sibylle,Acatos Sibylle,F,1975,3rd,1975-012,Switzerland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Birioukoff_Larissa_1975.tif,Birioukoff,Larissa,Birioukoff Larissa,F,1975,3rd,1975_A,Switzerland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Cochinaire_Gilles_1975.tif,Cochinaire,Gilles,Cochinaire Gilles,M,1975,3rd,1975-034,France,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Sturnick_Christiane_1975.tif,Sturnick,Christiane,Sturnick Christiane,F,1975,3rd,1975-009,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Talard_Philippe_1975.tif,Talard,Philippe,Talard Philippe,M,1975,3rd,1975-035,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Thore_Agnès_1975.tif,Thore,Agnès,Thore Agnès,F,1975,3rd,1975-021,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Wyss_Pierre_1975.tif,Wyss,Pierre,Wyss Pierre,M,1975,3rd,1975-036,Switzerland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
edition4/edition4_sequence_8.mp4,Balon,Laure,Balon Laure,F,1976,4th,1976-035,France,free,Bourse pour une année d'enseignement (Prix de Lausanne),1,"Allegro du Concerto N°2, Dmitri Chostakovitch, Monique le Dily.",,,,"Allegro du Concerto N°2, Dmitri Chostakovitch, Monique le Dily.","Allegro Du Concerto N°2, Dmitri Chostakovitch, Monique Le Dily.",1.0,,,1970,Europe
edition4/edition4_sequence_11.mp4,Boutot,Isabelle,Boutot Isabelle,F,1976,4th,1976-025,France,free,Prix de la meilleure variation libre (fille),1,"Prélude de L'après-midi D'un Faune, Claude Debussy, Fran?oise Roumier.",,,,"Prélude de L'après-midi D'un Faune, Claude Debussy, Fran?oise Roumier.","Prélude De L'après-midi D'un Faune, Claude Debussy, Fran?oise Roumier.",1.0,,,1970,Europe
edition4/edition4_sequence_22.mp4,Bricard,Stéphane,Bricard Stéphane,M,1976,4th,1976-061,France,free,Prix de la meilleure variation libre (gar?on),1,"Sous le Masque, Musique Personnelle, Chorégraphie Personnelle",,,,"Sous le Masque, Musique Personnelle, Chorégraphie Personnelle","Sous Le Masque, Musique Personnelle, Chorégraphie Personnelle",1.0,,,1970,Europe
edition4/edition4_sequence_7.mp4,Cerna,Michaela,Cerna Michaela,F,1976,4th,1976-021,Czechoslovakia,free,Prix de la meilleure variation classique(fille)-Prix du meilleur lauréat européen,1,"Aero, Musique Vaclav Kucera, Chor. Umelec / Blazek",,,,"Aero, Musique Vaclav Kucera, Chor. Umelec / Blazek","Aero, Musique Vaclav Kucera, Chor. Umelec / Blazek",1.0,,,1970,Europe
edition4/edition4_sequence_1.mp4,Couturier,Elva,Couturier Elva,F,1976,4th,1976-017,France,classical,Prix de la meilleure variation libre (fille),1,Swan Lake - Act II,,,,Swan Lake - Act II,Swan Lake - Act 2,1.0,,,1970,Europe
edition4/edition4_sequence_9.mp4,Dardenne,Chantal,Dardenne Chantal,F,1976,4th,1976-059,France,free,,0,"Variation, Musique Aram Khatchaturian, Chor. Diana Joffé",,,,"Variation, Musique Aram Khatchaturian, Chor. Diana Joffé","Variation, Musique Aram Khatchaturian, Chor. Diana Joffé",1.0,,,1970,Europe
edition4/edition4_sequence_2.mp4,Heyninck,Karin,Heyninck Karin,F,1976,4th,1976-040,Belgium,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1.0,,,1970,Europe
edition4/edition4_sequence_6.mp4,Johannsen,Rogert,Johannsen Rogert,M,1976,4th,1976-070,Danemark,classical,Bourse pour une année d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Blue Bird,,,,Sleeping Beauty - Blue Bird,Sleeping Beauty - Blue Bird,1.0,,,1970,Europe
edition4/edition4_sequence_10.mp4,Johnson,Susan,Johnson Susan,F,1976,4th,1976-033,United Kingdom,free,Bourse pour une année d'enseignement (Prix de Lausanne),1,"Main Girl's Solo From Danses Concertantes, Musique Stravinsky, Chor. Kenneth mc Millan",,,,"Main Girl's Solo From Danses Concertantes, Musique Stravinsky, Chor. Kenneth mc Millan","Main Girl's Solo From Danses Concertantes, Musique Stravinsky, Chor. Kenneth Mc Millan",1.0,,,1970,Europe
edition4/edition4_sequence_0.mp4,Kurova,Jana,Kurova Jana,F,1976,4th,1976-016,Czechoslovakia,classical,Médaille d'or,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1.0,,,1970,Europe
edition4/edition4_sequence_19.mp4,Muller,Isabelle,Muller Isabelle,F,1976,4th,1976-026,France,free,Prix de la meilleure chorégraphie personnelle,1,"Für Stimme Solo, Musique Berio, Chorégraphie Personnelle",,,,"Für Stimme Solo, Musique Berio, Chorégraphie Personnelle","Für Stimme Solo, Musique Berio, Chorégraphie Personnelle",1.0,,,1970,Europe
edition4/edition4_sequence_20.mp4,Naisy,Myriam,Naisy Myriam,F,1976,4th,1976-039,France,free,,0,"Chanson de la Nuit, Musique Salzedo, Chorégraphie Personnelle",,,,"Chanson de la Nuit, Musique Salzedo, Chorégraphie Personnelle","Chanson De La Nuit, Musique Salzedo, Chorégraphie Personnelle",1.0,,,1970,Europe
edition4/edition4_sequence_21.mp4,Oczkowski,Slawomir,Oczkowski Slawomir,M,1976,4th,1976-069,Poland,free,Prix de consolation au candidat le plus malchanceux,1,Chorégraphie Personnelle,,,,Chorégraphie Personnelle,Chorégraphie Personnelle,1.0,,,1970,Europe
edition4/edition4_sequence_4.mp4,Prince,Stéphane,Prince Stéphane,M,1976,4th,1976-068,Switzerland,classical,Bourse pour une année d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1.0,,,1970,Europe
edition4/edition4_sequence_5.mp4,Van Cauwenbergh,Ben,Van Cauwenbergh Ben,M,1976,4th,1976-065,Belgium,classical,Médaille d'or,1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1.0,,,1970,Europe
edition4/edition4_sequence_3.mp4,Ward,Andrew,Ward Andrew,M,1976,4th,1976-067,United Kingdom,classical,Bourse pour une année d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1.0,,,1970,Europe
Boisserie_Pierre_1977.tif,Boisserie,Pierre,Boisserie Pierre,M,1977,5th,1977-041,France,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Brind_Bryony_1977.tif,Brind,Bryony,Brind Bryony,F,1977,5th,1977-024,United Kingdom,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Campardon_Serge_1977.tif,Campardon,Serge,Campardon Serge,M,1977,5th,1977-034,France,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Cantalupo_Paola_1977.tif,Cantalupo,Paola,Cantalupo Paola,F,1977,5th,1977-029,Italy,photo,,1,,,,,,,0.0,,Eliane-Michèle Gross,1970,Europe
Chadwick_Fiona_1977.tif,Chadwick,Fiona,Chadwick Fiona,F,1977,5th,1977-017,United Kingdom,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Ivanoff_Kristine_1977.tif,Ivanoff,Kristine,Ivanoff Kristine,F,1977,5th,1977-005,France,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Jarosikova_Lenka_1977.tif,Jarosikova,Lenka,Jarosikova Lenka,F,1977,5th,1977-050,Czechoslovakia,photo,,0,,,,,,,0.0,,Marcel Imsand,1970,Europe
Maillot_Jean-Christophe_1977.tif,Maillot,Jean-Christophe,Maillot Jean-Christophe,M,1977,5th,1977-036,France,photo,,1,,,,,,,0.0,,Eliane-Michèle Gross,1970,Europe
Olivieri_Frédéric_1977.tif,Olivieri,Frédéric,Olivieri Frédéric,M,1977,5th,1977-037,France,photo,,1,,,,,,,0.0,,Eliane-Michèle Gross,1970,Europe
Schl?pfer_Martin_1977.tif,Schl?pfer,Martin,Schl?pfer Martin,M,1977,5th,1977-003,Switzerland,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
Vives_Mateu_Trinidad_1977.tif,Vives Mateu,Trinidad,Vives Mateu Trinidad,F,1977,5th,1977-009,Spain,photo,,1,,,,,,,0.0,,Marcel Imsand,1970,Europe
edition6/edition6_sequence_13.mp4,Anota,Philippe,Anota Philippe,M,1978,6th,1978-089,France,classical,Bourse pour une année d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III Prince Desiré,,,,Sleeping Beauty - Act III Prince Desiré,Sleeping Beauty - Act 3 - Prince Désiré,1.0,,,1970,Europe
