filename,surname,name,full_name,possible_gender,real_gender,year,edition,dancer_id,countries,perf_type,awards,has_award,performance,thumbnail_frame,res,frame_count,performance_translated,has_thumbnail,filepath_thumbnail,credits,decade,continent,perf_type_clean,filename_base,perf_clean
edition4/edition4_sequence_1.mp4,Couturier,Elva,Couturier Elva,female,F,1976,4th,1976-017,France,classical,Prix de la meilleure variation libre (fille),1,Swan Lake - Act II,,,,Swan Lake - Act II,1.0,,,1970,Europe,classical,edition4_sequence_1.mp4,Swan Lake - Act 2
edition4/edition4_sequence_2.mp4,Heyninck,Karin,Heyninck Karin,female,F,1976,4th,1976-040,Belgium,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,1.0,,,1970,Europe,classical,edition4_sequence_2.mp4,Sleeping Beauty - Act 3
edition4/edition4_sequence_4.mp4,Prince,St¨¦phane,Prince St¨¦phane,male,M,1976,4th,1976-068,Switzerland,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,1.0,,,1970,Europe,classical,edition4_sequence_4.mp4,"Sleeping Beauty, Prince Desire"
edition6/edition6_sequence_10.mp4,Michel,Thierry,Michel Thierry,male,M,1978,6th,1978-080,France,classical,,0,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,1.0,,,1970,Europe,classical,edition6_sequence_10.mp4,"Sleeping Beauty, Prince Desire"
edition6/edition6_sequence_12.mp4,Coste,Arnaud,Coste Arnaud,male,M,1978,6th,1978-086,France,classical,,0,Don Quichotte,,,,Don Quichotte,1.0,,,1970,Europe,classical,edition6_sequence_12.mp4,Don Quichotte - Basile Variation
edition6/edition6_sequence_13.mp4,Anota,Philippe,Anota Philippe,male,M,1978,6th,1978-089,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,1.0,,,1970,Europe,classical,edition6_sequence_13.mp4,"Sleeping Beauty, Prince Desire"
edition6/edition6_sequence_2.mp4,Yoshida,Naomi,Yoshida Naomi,female,F,1978,6th,1978-012,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,1.0,,,1970,Asia,classical,edition6_sequence_2.mp4,Sleeping Beauty - Act 3
edition6/edition6_sequence_3.mp4,Bos,Marie-Jinette,Bos Marie-Jinette,female,F,1978,6th,1978-021,France,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,1.0,,,1970,Europe,classical,edition6_sequence_3.mp4,Sleeping Beauty - Act 1
edition6/edition6_sequence_4.mp4,Zerara,Catherine,Zerara Catherine,female,F,1978,6th,1978-053,France,classical,,0,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,1.0,,,1970,Europe,classical,edition6_sequence_4.mp4,Sleeping Beauty - Act 1
edition6/edition6_sequence_6.mp4,Camboulas,Isabelle,Camboulas Isabelle,female,F,1978,6th,1978-059,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act I,,,,Sleeping Beauty - Act I,1.0,,,1970,Europe,classical,edition6_sequence_6.mp4,Sleeping Beauty - Act 1
