video,peak_id,frame_idx,timestamp_sec,total_score,image_path,json_path,raised_leg,raised_height,foot_height_diff,arabesque_angle,torso_tilt,raised_knee_angle,support_knee_angle,dist_highest_wrist_ank,l_elbow_angle,r_elbow_angle,highest_arm_vertical_angle,max_arm_forward,is_behind_body,back_extension,is_jumping,pelvic_anterior_tilt,lumbar_arch,thoracic_neck_line,split_angle,support_leg_plumb,shoulder_hip_torsion,arm_symmetry,pelvic_tilt_angle
PdL2023_ParkSooha_VarClassique.mp4,0,288,11.52,0.561,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_0_data.json,Left,-0.8734883430885098,0.3213435098462186,125.23619726925578,13.930205391141396,154.75442228379055,138.76263129119383,1.931766586073289,165.58473866668712,173.435227285727,64.46803527876371,0.10416342812864351,True,0.7200659598258975,False,5.410792638012771,14.40676704360352,0.0,41.926012010609405,18.74134337962781,22.71903846794383,0.14460552961033157,3.998330936356325
PdL2023_ParkSooha_VarClassique.mp4,1,379,15.16,0.539,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_1_data.json,Right,-0.5491596616734841,0.522527331716261,117.81754026391673,11.048728778644739,167.45728467921495,142.77949925296505,1.4431052540880862,90.08840266790159,167.17453303551503,107.95676669486016,-0.5028965109650844,True,0.9395792012899583,False,7.775934564428781,4.410608124868183,0.0,78.68651173472082,18.314824732483615,21.862854278354643,0.2677413606371188,2.932304991719294
PdL2023_ParkSooha_VarClassique.mp4,2,446,17.84,0.881,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_2_data.json,Right,0.5793741632154975,1.7058404028185015,65.16456221998469,23.033581164067808,146.22832288584172,158.56204595916574,1.0772704389758212,136.26622918395907,91.09063686593556,21.171031005430134,-0.23271962746303712,True,0.7527523365119544,False,25.47415280419858,8.908856838786894,0.0,125.09548372355523,5.122105415112058,26.090725963077038,0.9459726285054593,10.822022277318354
PdL2023_ParkSooha_VarClassique.mp4,3,509,20.36,0.522,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_3_data.json,Right,-0.5019508702180353,0.5367187137100173,108.58071136870585,11.249735263920394,168.77231073179195,139.02659009101325,1.1168316410491008,154.98242095919954,173.1941011716892,94.98864027690831,0.1918138036065042,False,-0.7798908565793272,False,15.361307484077475,15.166741267384781,0.0,71.74854333690134,18.75200791965593,25.951703108389083,0.010568057186168378,1.4102133579158633
PdL2023_ParkSooha_VarClassique.mp4,4,885,35.4,0.87,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_4_data.json,Right,0.4353602860281407,1.5055601898155218,97.6110727527954,28.769141710854385,163.1021558425442,161.58771897339852,2.028082754218386,128.28642354331924,151.48921841876617,34.85144336096228,-0.05514073339772752,True,0.5978805446161118,False,35.93434394997369,19.710724490853917,0.0,104.52007692773694,24.07204644081989,1.233849518762827,0.5824554128633382,45.897599088835165
PdL2023_ParkSooha_VarClassique.mp4,5,994,39.76,0.869,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_5_data.json,Right,0.406719511766144,1.435900643814534,97.82978091042439,32.27030310329395,157.5805412958206,158.56427047983027,1.63898706623232,103.28251657524817,139.9216299245176,24.385591605702153,-0.10127679106812029,True,1.013341023026645,False,36.55693077469974,16.354339766782093,0.0,96.69425569389752,32.13753726445246,11.077540515749934,0.7764666101319282,35.49816253673742
PdL2023_ParkSooha_VarClassique.mp4,6,1107,44.28,0.886,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_6_data.json,Right,0.510489763265471,1.5472714827557064,93.58843875119184,31.146834391838105,160.8472809833261,153.34915152749053,1.6533055738488116,117.30407858496268,149.10232816111213,27.97755802734859,-0.08478562702200886,True,1.0124878106669621,False,34.88945892007655,18.80981589946256,0.0,102.69559061774092,33.43590241006152,20.679327568234886,0.739570714326925,34.711542081168886
PdL2023_ParkSooha_VarClassique.mp4,7,1183,47.32,0.475,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_7_data.json,Right,-0.17355889657590703,0.8201434578002167,122.2020435884205,23.380007784538694,120.26183153790166,135.85076717214835,1.0048807266053112,129.63257304817787,135.23786885215247,97.04691889737704,-0.653766680504414,True,0.9317497551463222,False,30.03607334283339,0.5722632276080492,0.0,89.75253590534018,20.50654329127061,32.671012192234265,0.06523360144720736,6.728047707596745
PdL2023_ParkSooha_VarClassique.mp4,8,1294,51.76,0.759,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_8_data.json,Left,0.23066706092689776,1.3899245839340613,78.52662424971608,20.28435528579826,160.32971505245533,158.38027341110705,1.7619190065228683,136.45380263973644,110.4422699863856,90.5231559534558,0.06178037571600419,False,-0.778581950637517,False,25.011807569113856,24.458059744894427,0.0,98.80376823678658,9.071885827841218,43.92182220498901,0.21417848234133408,5.274475661111093
PdL2023_ParkSooha_VarClassique.mp4,9,1340,53.6,0.56,True,./results/edition51/frames/skeletons/PdL2023_ParkSooha_VarClassique.mp4_peak_9_data.json,Right,0.17121435533189308,1.179669886115651,43.52990146173332,22.123284491940012,15.940726796137593,156.07075652426533,1.1957927998859943,160.2348175902535,124.21255645779496,30.464348686812603,-0.198985351343726,False,0.0355334408234717,False,31.824466342400935,10.063088257035519,0.0,149.32260969053974,13.327325610769805,16.923581467444137,0.7174247198470726,3.5359533550352995
